marital,sibs,childs,age,educ,adults,happy,dwelown
married,2.0,2.0,58.0,18.0,2.0,2.0,other
married,1.0,2.0,38.0,17.0,2.0,3.0,owns
married,5.0,3.0,40.0,16.0,2.0,3.0,owns
married,2.0,4.0,68.0,10.0,2.0,2.0,owns
married,3.0,2.0,72.0,14.0,3.0,3.0,owns
married,3.0,1.0,50.0,12.0,2.0,2.0,owns
married,3.0,2.0,38.0,16.0,2.0,2.0,other
married,3.0,0.0,50.0,15.0,2.0,3.0,other
married,0.0,3.0,30.0,16.0,2.0,3.0,owns
married,5.0,2.0,45.0,16.0,3.0,3.0,owns
married,1.0,3.0,51.0,13.0,2.0,2.0,owns
widowed,10.0,2.0,89.0,12.0,1.0,2.0,other
married,1.0,3.0,71.0,12.0,2.0,3.0,owns
married,3.0,0.0,62.0,14.0,2.0,2.0,other
married,5.0,2.0,59.0,18.0,2.0,3.0,owns
never_married,8.0,0.0,20.0,12.0,2.0,3.0,other
divorced,1.0,1.0,32.0,14.0,3.0,1.0,other
married,5.0,2.0,40.0,20.0,2.0,2.0,owns
divorced,2.0,1.0,78.0,15.0,2.0,1.0,other
married,2.0,0.0,29.0,16.0,2.0,3.0,other
divorced,2.0,2.0,42.0,14.0,1.0,2.0,owns
never_married,3.0,0.0,18.0,12.0,3.0,2.0,other
married,1.0,1.0,46.0,12.0,2.0,2.0,owns
married,1.0,2.0,29.0,12.0,2.0,3.0,owns
never_married,7.0,0.0,26.0,16.0,3.0,2.0,other
married,4.0,1.0,49.0,12.0,2.0,3.0,other
married,0.0,3.0,77.0,14.0,2.0,2.0,owns
divorced,5.0,3.0,50.0,9.0,2.0,1.0,other
married,2.0,5.0,64.0,13.0,2.0,2.0,owns
never_married,2.0,1.0,34.0,13.0,2.0,1.0,other
never_married,3.0,0.0,20.0,13.0,1.0,2.0,rents
never_married,1.0,0.0,27.0,16.0,1.0,2.0,owns
divorced,2.0,0.0,38.0,14.0,1.0,2.0,owns
married,2.0,1.0,45.0,14.0,2.0,2.0,owns
never_married,6.0,4.0,38.0,11.0,2.0,2.0,other
widowed,3.0,0.0,61.0,12.0,1.0,1.0,other
married,1.0,3.0,34.0,17.0,2.0,2.0,other
divorced,6.0,0.0,56.0,16.0,1.0,3.0,other
never_married,9.0,1.0,27.0,16.0,1.0,2.0,other
never_married,1.0,0.0,26.0,19.0,4.0,2.0,rents
married,6.0,1.0,54.0,14.0,2.0,1.0,other
married,9.0,4.0,70.0,12.0,2.0,3.0,owns
married,5.0,7.0,50.0,14.0,2.0,3.0,owns
widowed,1.0,2.0,75.0,12.0,1.0,3.0,owns
never_married,3.0,1.0,36.0,16.0,2.0,2.0,owns
married,1.0,3.0,62.0,12.0,3.0,1.0,other
divorced,2.0,2.0,62.0,13.0,1.0,2.0,rents
married,12.0,3.0,44.0,13.0,2.0,2.0,owns
never_married,5.0,5.0,30.0,2.0,2.0,2.0,owns
divorced,0.0,2.0,53.0,15.0,4.0,2.0,owns
married,3.0,2.0,44.0,16.0,2.0,3.0,owns
married,1.0,0.0,37.0,17.0,2.0,2.0,owns
married,2.0,2.0,38.0,16.0,2.0,2.0,owns
never_married,4.0,1.0,48.0,16.0,1.0,3.0,rents
married,2.0,2.0,36.0,14.0,2.0,2.0,other
married,9.0,1.0,33.0,14.0,2.0,2.0,rents
never_married,2.0,0.0,25.0,12.0,1.0,2.0,rents
divorced,1.0,1.0,50.0,12.0,2.0,2.0,other
married,5.0,2.0,48.0,16.0,2.0,2.0,other
married,10.0,0.0,32.0,8.0,2.0,2.0,rents
never_married,5.0,0.0,19.0,11.0,3.0,2.0,owns
married,5.0,4.0,40.0,14.0,2.0,2.0,other
married,2.0,4.0,30.0,11.0,2.0,2.0,rents
married,1.0,2.0,48.0,16.0,2.0,2.0,owns
never_married,1.0,0.0,27.0,14.0,2.0,2.0,rents
divorced,3.0,1.0,55.0,16.0,2.0,2.0,other
married,4.0,2.0,27.0,13.0,2.0,3.0,rents
married,8.0,3.0,55.0,10.0,2.0,2.0,other
widowed,3.0,2.0,72.0,12.0,1.0,2.0,owns
never_married,3.0,6.0,55.0,12.0,1.0,3.0,other
divorced,2.0,2.0,62.0,18.0,1.0,3.0,owns
married,1.0,2.0,76.0,17.0,2.0,3.0,owns
married,1.0,2.0,63.0,17.0,2.0,1.0,other
divorced,9.0,2.0,46.0,13.0,2.0,1.0,other
never_married,4.0,0.0,54.0,16.0,1.0,2.0,owns
never_married,1.0,0.0,36.0,18.0,4.0,1.0,other
married,2.0,0.0,72.0,16.0,2.0,2.0,owns
never_married,1.0,0.0,21.0,13.0,2.0,2.0,owns
married,4.0,2.0,55.0,20.0,2.0,3.0,owns
married,4.0,2.0,34.0,12.0,4.0,2.0,owns
never_married,1.0,0.0,28.0,16.0,5.0,3.0,other
married,1.0,0.0,32.0,20.0,4.0,2.0,rents
married,7.0,1.0,42.0,12.0,1.0,2.0,rents
married,1.0,1.0,42.0,18.0,2.0,3.0,owns
never_married,4.0,0.0,36.0,12.0,1.0,2.0,owns
never_married,2.0,0.0,49.0,16.0,1.0,2.0,rents
widowed,2.0,1.0,59.0,13.0,1.0,1.0,other
married,3.0,2.0,62.0,16.0,2.0,2.0,other
married,2.0,0.0,55.0,18.0,2.0,3.0,owns
married,1.0,0.0,36.0,18.0,2.0,3.0,owns
married,4.0,2.0,49.0,12.0,3.0,1.0,other
never_married,1.0,0.0,29.0,17.0,3.0,2.0,owns
married,3.0,2.0,41.0,16.0,2.0,3.0,other
married,2.0,3.0,60.0,14.0,2.0,3.0,owns
married,0.0,1.0,26.0,11.0,2.0,2.0,rents
divorced,1.0,2.0,40.0,13.0,3.0,2.0,other
married,3.0,2.0,56.0,14.0,3.0,2.0,owns
married,13.0,2.0,41.0,0.0,3.0,2.0,other
married,3.0,3.0,51.0,17.0,2.0,3.0,other
married,5.0,3.0,60.0,17.0,2.0,3.0,owns
divorced,4.0,0.0,52.0,14.0,1.0,3.0,rents
never_married,3.0,0.0,25.0,17.0,4.0,3.0,rents
never_married,0.0,0.0,19.0,12.0,4.0,1.0,other
never_married,0.0,0.0,21.0,14.0,4.0,3.0,other
married,1.0,1.0,42.0,16.0,2.0,3.0,rents
separated,5.0,2.0,33.0,14.0,2.0,2.0,other
divorced,3.0,2.0,54.0,15.0,2.0,1.0,rents
married,2.0,2.0,54.0,14.0,2.0,2.0,other
married,6.0,2.0,29.0,9.0,3.0,1.0,rents
never_married,5.0,0.0,22.0,16.0,3.0,2.0,rents
divorced,4.0,1.0,53.0,15.0,1.0,2.0,rents
never_married,4.0,1.0,25.0,12.0,1.0,3.0,rents
married,2.0,4.0,42.0,14.0,3.0,3.0,owns
widowed,8.0,0.0,57.0,16.0,3.0,2.0,rents
divorced,2.0,2.0,43.0,11.0,1.0,3.0,rents
never_married,11.0,2.0,40.0,11.0,1.0,2.0,rents
married,5.0,1.0,54.0,12.0,2.0,2.0,owns
married,7.0,3.0,36.0,12.0,2.0,2.0,other
divorced,1.0,3.0,64.0,12.0,1.0,2.0,owns
married,1.0,3.0,47.0,12.0,3.0,2.0,owns
never_married,3.0,1.0,44.0,13.0,2.0,2.0,owns
married,4.0,4.0,47.0,12.0,2.0,2.0,owns
never_married,4.0,0.0,24.0,14.0,2.0,2.0,other
married,1.0,3.0,48.0,12.0,2.0,3.0,other
widowed,9.0,4.0,75.0,12.0,1.0,3.0,other
married,0.0,2.0,50.0,17.0,2.0,2.0,owns
married,1.0,1.0,49.0,16.0,2.0,3.0,owns
married,3.0,1.0,44.0,9.0,2.0,3.0,other
separated,2.0,1.0,60.0,13.0,1.0,2.0,owns
never_married,6.0,0.0,34.0,19.0,1.0,1.0,other
divorced,9.0,0.0,48.0,18.0,1.0,1.0,other
divorced,7.0,4.0,50.0,15.0,2.0,2.0,other
never_married,2.0,0.0,39.0,16.0,1.0,1.0,rents
never_married,2.0,0.0,49.0,18.0,2.0,1.0,owns
never_married,6.0,0.0,47.0,13.0,2.0,3.0,other
married,1.0,2.0,55.0,18.0,3.0,1.0,other
never_married,0.0,3.0,54.0,14.0,2.0,1.0,owns
divorced,4.0,4.0,49.0,15.0,3.0,1.0,owns
never_married,1.0,1.0,36.0,14.0,1.0,2.0,other
married,7.0,1.0,48.0,12.0,3.0,3.0,owns
never_married,0.0,1.0,35.0,16.0,2.0,2.0,owns
married,5.0,2.0,42.0,14.0,2.0,3.0,rents
never_married,3.0,1.0,64.0,13.0,1.0,1.0,rents
married,1.0,2.0,50.0,16.0,2.0,2.0,owns
married,7.0,3.0,53.0,15.0,2.0,3.0,owns
divorced,2.0,1.0,40.0,18.0,1.0,3.0,owns
never_married,8.0,2.0,69.0,10.0,1.0,2.0,other
never_married,2.0,0.0,21.0,15.0,4.0,2.0,other
married,1.0,7.0,62.0,14.0,2.0,2.0,owns
never_married,7.0,2.0,46.0,16.0,1.0,3.0,owns
married,4.0,3.0,67.0,11.0,2.0,3.0,owns
married,7.0,3.0,82.0,14.0,3.0,3.0,owns
married,1.0,4.0,61.0,16.0,4.0,3.0,owns
separated,4.0,2.0,51.0,12.0,2.0,1.0,other
married,34.0,3.0,60.0,12.0,2.0,2.0,owns
married,2.0,3.0,41.0,14.0,2.0,2.0,owns
married,7.0,2.0,49.0,12.0,2.0,3.0,owns
never_married,11.0,1.0,31.0,14.0,2.0,2.0,owns
never_married,5.0,0.0,60.0,14.0,1.0,3.0,other
never_married,4.0,0.0,18.0,11.0,2.0,2.0,rents
never_married,4.0,1.0,35.0,12.0,3.0,2.0,other
never_married,4.0,0.0,22.0,12.0,3.0,2.0,other
married,1.0,3.0,60.0,12.0,2.0,1.0,other
never_married,5.0,0.0,33.0,17.0,1.0,2.0,owns
widowed,3.0,2.0,57.0,13.0,2.0,3.0,owns
divorced,1.0,0.0,66.0,20.0,1.0,2.0,owns
married,2.0,4.0,66.0,16.0,3.0,3.0,owns
widowed,2.0,6.0,80.0,8.0,5.0,3.0,other
widowed,2.0,2.0,51.0,15.0,1.0,3.0,owns
married,18.0,1.0,41.0,15.0,4.0,3.0,owns
never_married,1.0,0.0,22.0,15.0,3.0,3.0,other
married,3.0,0.0,20.0,13.0,2.0,3.0,owns
widowed,7.0,4.0,42.0,14.0,1.0,2.0,rents
married,2.0,2.0,35.0,13.0,2.0,2.0,owns
married,1.0,0.0,37.0,16.0,2.0,2.0,owns
divorced,2.0,2.0,59.0,14.0,1.0,2.0,other
married,4.0,4.0,65.0,16.0,2.0,3.0,owns
married,1.0,3.0,60.0,12.0,2.0,3.0,owns
married,2.0,3.0,48.0,2.0,2.0,2.0,owns
married,2.0,2.0,66.0,16.0,2.0,2.0,owns
never_married,3.0,0.0,48.0,16.0,1.0,2.0,rents
married,1.0,0.0,60.0,12.0,1.0,1.0,owns
